method,timestamp,identity_similarity,identity_preserved,identity_accuracy,original_emotion,stylized_emotion,emotion_preserved,emotion_accuracy,emotion_distribution_similarity,ssim,ssim_percentage,psnr,edge_preservation,edge_preservation_percentage,color_similarity,color_similarity_percentage,cartoon_quality,cartoon_quality_percentage,overall_preservation,overall_preservation_percentage,quality_preservation_balance,balance_percentage,image_name
Simple Quantization,2025-10-16 05:05:31.114205,0.9938079430739966,True,99.38079430739965,happy,happy,True,100.0,0.99241042137146,0.8416051586929031,84.16051586929031,27.159677340915533,0.48384184308841843,48.384184308841846,0.18538580690781772,18.53858069078177,7.766673148660098,776.6673148660099,0.766847562160215,76.6847562160215,4.266760355410157,426.6760355410157,celebhq_0005.jpg
Edge-Preserving,2025-10-16 05:05:33.667612,0.9531064991564864,True,95.31064991564864,happy,happy,True,100.0,0.9969107508659363,0.8054833112438436,80.54833112438436,27.345934226755656,0.3342845153168275,33.428451531682754,0.8186321462111708,81.86321462111708,3.004468697940602,300.4468697940602,0.8199661112249145,81.99661112249144,1.9122174045827582,191.22174045827583,celebhq_0005.jpg
Our Method,2025-10-16 05:05:36.100223,0.9168735321423642,True,91.68735321423642,happy,happy,True,100.0,0.9915059208869934,0.41337696656774353,41.337696656774355,12.124990770456716,0.2582070277985455,25.82070277985455,-0.27162649656129734,-27.162649656129734,15.367186889648437,1536.7186889648438,0.5557245326418453,55.57245326418453,7.961455711145141,796.145571114514,celebhq_0005.jpg
Our Adaptive,2025-10-16 05:05:40.029285,0.8306273913247921,True,83.06273913247921,happy,happy,True,100.0,0.9902520775794983,0.804464631183765,80.4464631183765,17.020904773347954,0.6621519484838407,66.21519484838407,0.25505782010615347,25.505782010615345,9.774733963012695,977.4733963012695,0.7476626089226898,74.76626089226897,5.2611982859676925,526.1198285967693,celebhq_0005.jpg
OpenCV Baseline,2025-10-16 05:12:24.051466,0.7521984435197093,True,75.21984435197093,happy,happy,True,100.0,0.5380734801292419,0.35872560974304446,35.87256097430445,10.93205555338917,0.3121629864584604,31.21629864584604,0.012973746441095889,1.2973746441095888,21.323762076882755,2132.3762076882754,0.5461751649394552,54.617516493945516,10.934968620911105,1093.4968620911104,celebhq_0006.jpg
Simple Quantization,2025-10-16 05:12:26.790932,0.9920160530837632,True,99.20160530837632,happy,happy,True,100.0,0.9610065817832947,0.8738489806626676,87.38489806626676,29.015033517309128,0.5728123639529822,57.281236395298215,0.13841061780032174,13.841061780032174,11.190015155567844,1119.0015155567844,0.7790580593206581,77.9058059320658,5.984536607444251,598.4536607444251,celebhq_0006.jpg
Edge-Preserving,2025-10-16 05:12:29.457775,0.9655003783242717,True,96.55003783242717,happy,happy,True,100.0,0.9488096833229065,0.766795578438147,76.6795578438147,28.12385009122977,0.24290511265164644,24.290511265164643,0.8111959940082226,81.11959940082227,3.3875865487491383,338.7586548749138,0.8011243951838911,80.11243951838911,2.094355471966515,209.4355471966515,celebhq_0006.jpg
Our Method,2025-10-16 05:12:31.992056,0.9423255258118312,True,94.23255258118311,happy,sad,False,0.0,0.2037642002105713,0.4391253161249214,43.91253161249214,13.43869725716649,0.33463432376475855,33.46343237647586,-0.15156542586127467,-15.156542586127467,17.872816462797278,1787.2816462797277,0.3979830556540561,39.79830556540561,9.135399759225667,913.5399759225667,celebhq_0006.jpg
Our Adaptive,2025-10-16 05:12:35.349187,0.8077452772106897,True,80.77452772106896,happy,happy,True,100.0,0.8179922103881836,0.7473707603901826,74.73707603901826,15.765880405462214,0.6327027747116812,63.27027747116812,0.5560368366299527,55.60368366299527,15.06576026018928,1506.5760260189281,0.7701086769424884,77.01086769424884,7.917934468565885,791.7934468565885,celebhq_0006.jpg
OpenCV Baseline,2025-10-16 05:22:24.689759,0.6669719849542084,True,66.69719849542084,happy,happy,True,100.0,0.6980221271514893,0.47559183388753257,47.559183388753254,12.567053421858024,0.3416294435802663,34.16294435802663,0.06294105615410306,6.294105615410306,18.169535351921528,1816.953535192153,0.5558955372239245,55.58955372239245,9.362715444572727,936.2715444572726,celebhq_0007.jpg
Simple Quantization,2025-10-16 05:22:27.359115,0.991298834995963,True,99.1298834995963,happy,happy,True,100.0,0.939189076423645,0.9020983456165134,90.20983456165133,30.721360866602136,0.7027213845011648,70.27213845011649,0.21788171995837738,21.78817199583774,10.257013087553137,1025.7013087553137,0.8158997852910228,81.58997852910228,5.53645643642208,553.645643642208,celebhq_0007.jpg
Edge-Preserving,2025-10-16 05:22:30.479809,0.9467397835151525,True,94.67397835151526,happy,happy,True,100.0,0.9678396582603455,0.7648800519515553,76.48800519515552,28.72971025179581,0.33596264826146216,33.59626482614622,0.8629375888991335,86.29375888991335,4.2148671812169685,421.48671812169687,0.8168329810189462,81.68329810189462,2.515850081117957,251.58500811179573,celebhq_0007.jpg
Our Method,2025-10-16 05:22:33.821293,0.8966305363506042,True,89.66305363506042,happy,happy,True,100.0,0.930544912815094,0.5265530578937878,52.65530578937878,13.819500001628198,0.37997092553706996,37.997092553707,0.07080289072536644,7.080289072536644,15.691273678050322,1569.1273678050322,0.6419158449233043,64.19158449233043,8.166594761486813,816.6594761486813,celebhq_0007.jpg
Our Adaptive,2025-10-16 05:22:36.594443,0.7981307837066594,True,79.81307837066593,happy,neutral,False,0.0,0.18631166219711304,0.7571549853879409,75.7154985387941,17.560512422080144,0.5955867801306155,59.55867801306155,0.8894691647677675,88.94691647677675,14.327471187815947,1432.7471187815947,0.6136286239243435,61.362862392434344,7.470549905870145,747.0549905870146,celebhq_0007.jpg
OpenCV Baseline,2025-10-16 05:29:41.148083,0.8001890149071127,True,80.01890149071127,happy,angry,False,0.0,0.17293858528137207,0.43729664020328796,43.7296640203288,13.011785218531296,0.20073132219729078,20.07313221972908,0.29639527852106134,29.639527852106134,16.2879216856115,1628.79216856115,0.4020850226205442,40.20850226205442,8.345003354116022,834.5003354116022,celebhq_0008.jpg
Simple Quantization,2025-10-16 05:29:44.557257,0.9584190007808152,True,95.84190007808152,happy,happy,True,100.0,0.9476789236068726,0.866688613389513,86.6688613389513,29.608282887005966,0.5314893270327522,53.14893270327522,0.1611246628002225,16.11246628002225,6.312315409043256,631.2315409043256,0.7647555213870934,76.47555213870933,3.538535465215175,353.8535465215175,celebhq_0008.jpg
Edge-Preserving,2025-10-16 05:29:47.406725,0.8612577296770163,True,86.12577296770164,happy,happy,True,100.0,0.948735773563385,0.8006286551142449,80.06286551142449,28.92291832838127,0.3287072038017064,32.870720380170646,0.49963700377015735,49.96370037701573,2.437548029282514,243.75480292825137,0.7427546810617335,74.27546810617335,1.5901513551721236,159.01513551721237,celebhq_0008.jpg
Our Method,2025-10-16 05:29:49.666090,0.8374598106173369,True,83.74598106173369,happy,happy,True,100.0,0.9469776749610901,0.5123592913023912,51.23592913023912,15.710827428603904,0.22671246716508386,22.671246716508385,0.026462796540668587,2.6462796540668587,13.013675783942727,1301.3675783942726,0.5916860910015421,59.168609100154214,6.802680937472134,680.2680937472135,celebhq_0008.jpg
Our Adaptive,2025-10-16 05:29:52.245227,0.8002908399816231,True,80.0290839981623,happy,happy,True,100.0,0.9525579810142517,0.7870769983933696,78.70769983933697,17.8319380979859,0.5665246292824271,56.652462928242706,0.4838020161872385,48.38020161872385,8.68643991806928,868.6439918069279,0.7550516484936108,75.50516484936108,4.720745783281445,472.0745783281445,celebhq_0008.jpg
OpenCV Baseline,2025-10-16 05:37:22.528001,0.9033212675565145,True,90.33212675565146,happy,happy,True,100.0,0.9407278895378113,0.47683025958322806,47.68302595832281,14.640697771250455,0.20755550060931457,20.75555006093146,0.1845122447989698,18.45122447989698,15.397169018913718,1539.716901891372,0.6251725939948427,62.517259399484274,8.011170806454281,801.1170806454281,celebhq_0009.jpg
Simple Quantization,2025-10-16 05:37:26.474188,0.9854753905475405,True,98.54753905475405,happy,happy,True,100.0,0.994824230670929,0.8351413778615832,83.51413778615832,28.050075406980106,0.4726080546286956,47.26080546286956,0.20609514123194847,20.609514123194845,6.6831318215762865,668.3131821576286,0.7644763721156755,76.44763721156755,3.723804096845981,372.3804096845981,celebhq_0009.jpg
Edge-Preserving,2025-10-16 05:37:28.968234,0.9729859579173321,True,97.2985957917332,happy,happy,True,100.0,0.989868700504303,0.7651676400634185,76.51676400634186,29.276487985382133,0.2969181362330272,29.69181362330272,0.7963539713899404,79.63539713899404,2.2360307222254137,223.60307222254136,0.8089201315313284,80.89201315313284,1.522475426878371,152.2475426878371,celebhq_0009.jpg
Our Method,2025-10-16 05:37:31.412685,0.9450991571402703,True,94.50991571402703,happy,neutral,False,0.0,0.2571694254875183,0.3243168606249074,32.43168606249074,11.731333076629802,0.15473264977544277,15.473264977544277,0.07355858644107788,7.355858644107788,15.324327320772058,1532.4327320772059,0.3826368046995407,38.26368046995407,7.853482062735799,785.3482062735799,celebhq_0009.jpg
Our Adaptive,2025-10-16 05:37:34.211163,0.9057590720618772,True,90.57590720618772,happy,happy,True,100.0,0.9154102206230164,0.7550053230727914,75.50053230727914,17.714934096111026,0.46597486728848636,46.59748672884864,0.4217729239795234,42.177292397952336,9.79640723733341,979.640723733341,0.7558909549233229,75.58909549233229,5.276149096128367,527.6149096128366,celebhq_0009.jpg
OpenCV Baseline,2025-10-16 05:44:08.567661,0.7720021521935958,True,77.20021521935958,happy,neutral,False,0.0,0.44271349906921387,0.516918287143985,51.691828714398504,14.024928034836478,0.1005552308591467,10.05552308591467,0.254458384821544,25.445838482154397,9.908346790986903,990.8346790986902,0.38823634543897934,38.82363454389793,5.148291568212941,514.8291568212941,celebhq_0010.jpg
Simple Quantization,2025-10-16 05:44:11.932814,0.9798164604537517,True,97.98164604537517,happy,surprise,False,0.0,0.6609005331993103,0.8828356144538402,88.28356144538402,31.412897711999676,0.5334937825912555,53.349378259125544,0.18190275780888818,18.19027578088882,2.3643946434469783,236.43946434469783,0.577821542086915,57.78215420869151,1.4711080927669467,147.11080927669465,celebhq_0010.jpg
Edge-Preserving,2025-10-16 05:44:14.582398,0.8653423593764267,True,86.53423593764266,happy,surprise,False,0.0,0.5462706089019775,0.8897556733012605,88.97556733012605,29.44785291551842,0.36919182787922616,36.919182787922615,0.8540657802198649,85.40657802198649,1.1659714687571805,116.59714687571805,0.6210424836880437,62.10424836880437,0.8935069762226121,89.35069762226121,celebhq_0010.jpg
Our Method,2025-10-16 05:44:16.832067,0.7577541241218164,True,75.77541241218164,happy,happy,True,100.0,0.7133827209472656,0.4563639960590298,45.63639960590298,15.35586527795651,0.08618846694796062,8.618846694796062,0.014957715788454076,1.4957715788454076,10.227000683055204,1022.7000683055204,0.5337709638588131,53.37709638588131,5.380385823457009,538.0385823457009,celebhq_0010.jpg
Our Adaptive,2025-10-16 05:44:19.480293,0.7961767010744539,True,79.61767010744539,happy,happy,True,100.0,0.7942671775817871,0.8045088634922689,80.45088634922689,18.512229713116955,0.25179005043272523,25.17900504327252,0.854779624345028,85.4779624345028,4.844887116376091,484.4887116376091,0.7657402342374531,76.5740234237453,2.8053136753067722,280.53136753067724,celebhq_0010.jpg
OpenCV Baseline,2025-10-16 05:51:46.410018,0.858235281227902,True,85.82352812279021,happy,happy,True,100.0,0.9379740953445435,0.5237001853549371,52.37001853549371,14.589675248850533,0.09356936416184972,9.356936416184972,0.23418454580814227,23.418454580814227,11.206541065889246,1120.6541065889246,0.6113737079348569,61.13737079348569,5.908957386912052,590.8957386912052,celebhq_0011.jpg
Simple Quantization,2025-10-16 05:51:49.048178,0.9802696927778187,True,98.02696927778187,happy,happy,True,100.0,0.9931369423866272,0.8731113236847415,87.31113236847415,31.916585048168923,0.5074238082834072,50.742380828340714,0.30843651947956996,30.843651947956996,2.330929390402401,233.09293904024008,0.7910822217347405,79.10822217347405,1.5610058060685708,156.10058060685708,celebhq_0011.jpg
Edge-Preserving,2025-10-16 05:51:52.337562,0.8892572357734074,True,88.92572357734075,happy,happy,True,100.0,0.998170018196106,0.8304982653752332,83.04982653752332,30.92509622455473,0.25066666666666665,25.066666666666666,0.8794718804976198,87.94718804976198,0.9432100363338695,94.32100363338695,0.8023976058817118,80.23976058817118,0.8728038211077906,87.28038211077906,celebhq_0011.jpg
